Application,Downloads,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment,New
azure-ai-contentsafety,292385,https://pypi.org/project/azure-ai-contentsafety,N/A,Y,,Attr,Attr,,,,,,Yes
captum,267430,https://pypi.org/project/captum,N/A,Y,,Attr,Attr,,.route|import_flask,,,,No
comet-ml,245333,https://pypi.org/project/comet-ml,N/A,Y,,Attr,Attr,,,,,,Yes
nncf,236705,https://pypi.org/project/nncf,N/A,Y,,Attr,Attr,,,,,,Yes
azure-ai-textanalytics,236629,https://pypi.org/project/azure-ai-textanalytics,N/A,Y,,Attr,Attr,,,,,,Yes
onnxsim,229285,https://pypi.org/project/onnxsim,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-costmanagement,229125,https://pypi.org/project/azure-mgmt-costmanagement,N/A,Y,,Attr,Attr,,,,,,Yes
netapp-ontap,228971,https://pypi.org/project/netapp-ontap,N/A,Y,,Attr,Attr,,rule_instantiation,,,,Yes
meta,226540,https://pypi.org/project/meta,N/A,Y,,Attr,Attr/Field,,,,,,Yes
azure-eventhub-checkpointstoreblob,222397,https://pypi.org/project/azure-eventhub-checkpointstoreblob,N/A,Y,,Attr,Attr,,,,,,Yes
ipex-llm,221639,https://pypi.org/project/ipex-llm,N/A,Y,,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_fastapi|import_starlette,,,,No
diastatic-malt,207770,https://pypi.org/project/diastatic-malt,N/A,Y,,Attr,Attr,,,,,,Yes
mo-dots,204011,https://pypi.org/project/mo-dots,Y,Y,,Attr/Field,Attr/Field,Function,,,,,No
azure-mgmt-databricks,196014,https://pypi.org/project/azure-mgmt-databricks,N/A,Y,,Attr,Attr,,,,,,Yes
azure-messaging-webpubsubservice,193104,https://pypi.org/project/azure-messaging-webpubsubservice,N/A,Y,,Attr,Attr,,,,,,Yes
smolagents,191273,https://pypi.org/project/smolagents,Y,Y,,Attr/Field,Attr/Field,None,,,,,Yes
azure-ai-translation-document,187489,https://pypi.org/project/azure-ai-translation-document,N/A,Y,,Attr,Attr,,,,,,Yes
pytest-sftpserver,186991,https://pypi.org/project/pytest-sftpserver,Y,Y,,Attr/Field,Attr/Field,Remote,,,,TODO: Add PoC,Yes
azure-ai-language-questionanswering,186856,https://pypi.org/project/azure-ai-language-questionanswering,N/A,Y,,Attr,Attr,,,,,,Yes
botorch,186236,https://pypi.org/project/botorch,N/A,Y,,Attr,Attr,,,,,,Yes
azure-ai-language-conversations,186084,https://pypi.org/project/azure-ai-language-conversations,N/A,Y,,Attr,Attr,,,,,,Yes
vispy,150589,https://pypi.org/project/vispy,N/A,Y,,Attr,Attr,,,,,,No
google-gax,147465,https://pypi.org/project/google-gax,N,Y,,Attr/Field,Attr/Field,,,,,,Yes
serial,145208,https://pypi.org/project/serial,N/A,Y,,Attr,Field,,,,,,Yes
hera,144758,https://pypi.org/project/hera,N/A,Y,,Attr,Attr,,,,,,Yes
onnxoptimizer,144653,https://pypi.org/project/onnxoptimizer,N/A,Y,,Attr,Attr,,,,,,Yes
pyworxcloud,136098,https://pypi.org/project/pyworxcloud,N/A,Y,,Attr/Field,Attr,,,,,,Yes
starlette-admin,135805,https://pypi.org/project/starlette-admin,N/A,Y,,Attr,Attr,,import_starlette,,,,Yes
qcodes,134006,https://pypi.org/project/qcodes,N/A,Y,,Attr,Attr,,,,,,Yes
stringparser,127304,https://pypi.org/project/stringparser,Y,Y,,Attr/Field,Attr/Field,Function,,,,base obj is a dict lol,Yes
azure-ai-projects,120762,https://pypi.org/project/azure-ai-projects,N/A,Y,,Attr,Attr,,,,,,Yes
deepdiff6,119680,https://pypi.org/project/deepdiff6,Y,Y,,Attr/Field,Attr/Field,Function,,,,,No
pyodps,118602,https://pypi.org/project/pyodps,N/A,Y,,Attr,Attr,,import_tornado,,,,Yes
crosshair-tool,110489,https://pypi.org/project/crosshair-tool,N/A,Y,,Attr,Attr,,,,,,Yes
crosshair-tool,110489,https://pypi.org/project/crosshair-tool,N/A,Y,,Attr,Field,,,,,,Yes
fairseq,107548,https://pypi.org/project/fairseq,N/A,Y,,Attr,Attr,,,,,,No
zope,102943,https://pypi.org/project/zope,N/A,Y,,Attr/Field,Attr,,,,,,Yes
azure-ai-translation-text,100146,https://pypi.org/project/azure-ai-translation-text,N/A,Y,,Attr,Attr,,,,,,Yes
weave,97354,https://pypi.org/project/weave,N/A,Y,,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_fastapi,,,,Yes
ai-edge-torch-nightly,95606,https://pypi.org/project/ai-edge-torch-nightly,N/A,Y,,Attr,Attr,,,,,,Yes
django-auth-adfs,91467,https://pypi.org/project/django-auth-adfs,Y,Y,,Attr,Attr,Function,django_re_path|import_django,,,,Yes
azure-mgmt-kubernetesconfiguration,85039,https://pypi.org/project/azure-mgmt-kubernetesconfiguration,N/A,Y,,Attr,Attr,,,,,,Yes
testslide,84865,https://pypi.org/project/testslide,N/A,Y,,Attr,Attr,,,,,,Yes
lumigo-tracer,84493,https://pypi.org/project/lumigo-tracer,N/A,Y,,Attr,Attr,,import_aiohttp,,,,Yes
river,72874,https://pypi.org/project/river,N/A,Y,,Attr,Attr,,,,,,No
opentelemetry-instrumentation-sklearn,72359,https://pypi.org/project/opentelemetry-instrumentation-sklearn,N/A,Y,,Attr,Attr,,,,,,Yes
edsnlp,69704,https://pypi.org/project/edsnlp,Y,Y,,Attr/Field,Attr/Field,Function,.get/.post/.api_route|import_fastapi,,,,No
azure-mgmt-frontdoor,68754,https://pypi.org/project/azure-mgmt-frontdoor,N/A,Y,,Attr,Attr,,,,,,Yes
mm,67205,https://pypi.org/project/mm,N/A,Y,,Attr,Attr,,,,,,Yes
azure-ai-evaluation,65524,https://pypi.org/project/azure-ai-evaluation,N/A,Y,,Attr,Attr,,,,,,Yes
paddlepaddle-gpu,65159,https://pypi.org/project/paddlepaddle-gpu,N/A,Y,,Attr,Attr,,,,,,Yes
azure-ai-vision-imageanalysis,64714,https://pypi.org/project/azure-ai-vision-imageanalysis,N/A,Y,,Attr,Attr,,,,,,Yes
pydo,61213,https://pypi.org/project/pydo,N/A,Y,,Attr,Attr,,,,,,Yes
pykka,60649,https://pypi.org/project/pykka,N/A,Y,,Attr,Attr,,,,,,No
wandb-workspaces,59421,https://pypi.org/project/wandb-workspaces,N/A,Y,,Attr/Field,Attr/Field,,,,,,Yes
zhinst-toolkit,58790,https://pypi.org/project/zhinst-toolkit,N/A,Y,,Attr,Attr,,,,,,Yes
relstorage,57630,https://pypi.org/project/relstorage,N/A,Y,,Attr,Attr,,,,,,Yes
lark-oapi,57342,https://pypi.org/project/lark-oapi,N/A,Y,,Attr,Attr,,import_flask,,,,Yes
alchemyjsonschema,56989,https://pypi.org/project/alchemyjsonschema,N/A,Y,,Attr,Attr,,,,,,Yes
appdynamics,56308,https://pypi.org/project/appdynamics,N/A,Y,,Attr,Attr,,import_django|import_tornado,,,,Yes
appdynamics-bindeps-linux-x64,55267,https://pypi.org/project/appdynamics-bindeps-linux-x64,N/A,Y,,Attr,Attr,,import_tornado,,,,Yes
py3rosmsgs,50679,https://pypi.org/project/py3rosmsgs,N/A,Y,,Attr,Attr,,,,,,Yes
flexmock,50399,https://pypi.org/project/flexmock,N/A,Y,,Attr,Attr,,,,,,Yes
ansys-fluent-core,47813,https://pypi.org/project/ansys-fluent-core,N/A,Y,,Attr,Attr,,,,,,Yes
neural-compressor,46937,https://pypi.org/project/neural-compressor,N/A,Y,,Attr,Attr,,,,,,No
opcua,46355,https://pypi.org/project/opcua,N/A,Y,,Attr,Attr,,,,,,Yes
cloudstorage,45497,https://pypi.org/project/cloudstorage,N/A,Y,,Attr,Attr,,,,,,Yes
later,45306,https://pypi.org/project/later,N/A,Y,,Attr,Field,,,,,,Yes
