Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
cc_blender_tools,462,https://github.com/soupday/cc_blender_tools,Y,N/A,,,Attr,Attr,,,,,,Yes
tuned-lens,453,https://github.com/AlignmentResearch/tuned-lens,Y,N/A,,,Attr,Attr,,,,,,Yes
tuned-lens,453,https://github.com/AlignmentResearch/tuned-lens,Y,N/A,,,Attr,Attr,,,,,,Yes
Sollumz,450,https://github.com/Sollumz/Sollumz,Y,N/A,,,Attr,Attr,,,,,,Yes
Sollumz,450,https://github.com/Sollumz/Sollumz,Y,N/A,,,Attr,Attr,,,,,,Yes
DoLa,448,https://github.com/voidism/DoLa,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
riven,442,https://github.com/rivenmedia/riven,Y,Y,,,Attr/Field,Attr/Field,Function,"Application, all keys are not under attacker's control in all the class pollution function usage.",,,,
dbx,442,https://github.com/databrickslabs/dbx,Y,N,,only one layer.,N,N,,,,,,
riven,442,https://github.com/rivenmedia/riven,Y,Y,,duplicated with Zhengyu's 100-1k codeql dataset.,Attr/Field,Attr/Field,Function,,,,,
dbx,442,https://github.com/databrickslabs/dbx,Y,N,,"simply set, no recursive operation, no type check",,,,,,,,
SimpleParsing,442,https://github.com/lebrice/SimpleParsing,N,N/A,,,Attr,Attr,,https://github.com/lebrice/SimpleParsing/blob/4388893b768495090dcd8dc7e399372d8e5829be/simple_parsing/utils.py#L701,,,,
UniSpeech,441,https://github.com/microsoft/UniSpeech,Y,N/A,,,Attr,Attr,,,,,,Yes
SSDNeRF,440,https://github.com/Lakonik/SSDNeRF,Y,N/A,,,Attr,Attr,,,,,,Yes
AudioClassification-Pytorch,439,https://github.com/yeyupiaoling/AudioClassification-Pytorch,Y,N/A,,,Attr,Attr,,,,,,Yes
model-soups,436,https://github.com/mlfoundations/model-soups,Y,N/A,,,Attr,Attr,,,,,,Yes
recipy,436,https://github.com/recipy/recipy,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
aliyun-odps-python-sdk,433,https://github.com/aliyun/aliyun-odps-python-sdk,Y,N/A,,,Attr,Attr,,import_tornado,,,,Yes
aliyun-odps-python-sdk,433,https://github.com/aliyun/aliyun-odps-python-sdk,Y,N/A,,,Attr,Attr,,import_tornado,,,,Yes
rome,432,https://github.com/SamsungLabs/rome,Y,N/A,,,Attr,Attr,,,,,,Yes
rome,432,https://github.com/SamsungLabs/rome,Y,N/A,,,Attr,Field,,,,,,Yes
djangorestframework-dataclasses,432,https://github.com/oxan/djangorestframework-dataclasses,Y,N/A,,,Attr,Attr,,import_django,,,,Yes
Open-NLLB,431,https://github.com/gordicaleksa/Open-NLLB,Y,N/A,,,Attr,Attr,,,,,,Yes
model-card-toolkit,427,https://github.com/tensorflow/model-card-toolkit,Y,N/A,,,Attr,Attr,,,,,,Yes
TwitchLink,419,https://github.com/devhotteok/TwitchLink,Y,N/A,,,Attr,Attr,,,,,,Yes
TwitchLink,419,https://github.com/devhotteok/TwitchLink,Y,N/A,,,Attr,Attr,,,,,,Yes
ViperIDE,418,https://github.com/vshymanskyy/ViperIDE,Y,N/A,,,Attr,Attr,,,,,,Yes
etlpy,417,https://github.com/ferventdesert/etlpy,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
automlbenchmark,414,https://github.com/openml/automlbenchmark,Y,N/A,,,Attr,Attr,,,,,,Yes
mtt-distillation,410,https://github.com/GeorgeCazenavette/mtt-distillation,Y,N/A,,,Attr,Attr,,,,,,Yes
mtt-distillation,410,https://github.com/GeorgeCazenavette/mtt-distillation,Y,N/A,,,Attr,Attr,,,,,,Yes
ssl_detection,409,https://github.com/google-research/ssl_detection,Y,N/A,,,Attr,Attr,,,,,,Yes
Trace,409,https://github.com/microsoft/Trace,Y,N,,"type checking before setAttr, obj.__dict__.items() to avoid traversing prototype.",N,N,,,,,,
check50,406,https://github.com/cs50/check50,Y,N/A,,,Attr,Attr,,,,,,Yes
check50,406,https://github.com/cs50/check50,Y,N/A,,,Attr,Attr,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,Y,N/A,,,Attr,Field,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,Y,N/A,,,Attr/Field,Field,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,Y,N/A,,,Attr/Field,Field,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,Y,N/A,,,Attr,Field,,,,,,Yes
pyrobolearn,405,https://github.com/robotlearn/pyrobolearn,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
Auto1111SDK,399,https://github.com/Auto1111SDK/Auto1111SDK,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
Auto1111SDK,399,https://github.com/Auto1111SDK/Auto1111SDK,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
ansible-navigator,399,https://github.com/ansible/ansible-navigator,Y,N,,dest obj dataclass check,,,,,,,,
ProtoMotions,399,https://github.com/NVlabs/ProtoMotions,Y,N,,"issac_utils:apply_random_samples, false positive",,,,,,,,
ADAPT,395,https://github.com/jxbbb/ADAPT,Y,N/A,,,Attr,Attr,,,,,,Yes
pymtl3,393,https://github.com/pymtl/pymtl3,Y,N,,only one layer.,N,N,,,,,,
pymtl3,393,https://github.com/pymtl/pymtl3,Y,N,,obj type check: NamedObject,,,,,,,,
ChatGLM-LLaMA-chinese-insturct,390,https://github.com/27182812/ChatGLM-LLaMA-chinese-insturct,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
ChatGLM-LLaMA-chinese-insturct,390,https://github.com/27182812/ChatGLM-LLaMA-chinese-insturct,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
mock,389,https://github.com/rpm-software-management/mock,Y,N/A,,,Attr,Attr,,,,,,Yes
mock,389,https://github.com/rpm-software-management/mock,Y,N/A,,,Attr,Field,,,,,,Yes
embodied-generalist,388,https://github.com/embodied-generalist/embodied-generalist,Y,N/A,,,Attr,Attr,,,,,,Yes
lamar-benchmark,388,https://github.com/microsoft/lamar-benchmark,Y,N/A,,,Attr,Attr,,,,,,Yes
